bodeguita(1)^raghida,bodeguita(1)
hypochondria^mastandrea^mitochondria^papandrea,mastandrea^papandrea
dependencies^tendencies,dependencies
mujahedeen^mujahideen,mujahedeen^mujahideen
litigating^segregating,litigating^segregating
califano^schifano,califano
andreotti(1)^riady,andreotti(1)
heroically^mock-heroically^stoically,heroically
enforceable^forcible^unenforceable,enforceable
amarilla^churilla^gorilla^guerilla^guerrilla^kurilla,amarilla
arena^ballerina^catherina^corrina^erina^farina^katarina^marina^purina(1)^verina,ballerina^catherina^katarina
baio^cavataio^demaio(0)^dimaio,demaio(0)^dimaio
exploravision^spectravision^television,spectravision^television
impatiently^patiently,impatiently
marchesano^marckesano^montesano,marchesano^marckesano^montesano
agronomists(1)^economist's^economists^economists^economist's^economist's^economists^economist's,agronomists(1)^economist's^economists^economists^economist's^economist's^economists^economist's
micrographic^reprographic^tomographic,micrographic^reprographic^tomographic
counterchallenge(0)^counterchallenge(1),counterchallenge(0)^counterchallenge(1)
resubmitting^submitting,resubmitting
juarez-espin(0)^juarez-espin(1),juarez-espin(0)^juarez-espin(1)
appropriate(1)^expropriate^misappropriate,appropriate(1)^expropriate
amilia^basilia^emilia^hemophilia^lealia^leilia^lilia^mobilia^odilia^ofilia^othilia^pumilia^rosamilia^scibilia^sibilia^vigilia,amilia^basilia^emilia^mobilia^odilia^ofilia^othilia^pumilia^scibilia^sibilia^vigilia
area's^areas^bavaria's^bulgaria's^farias^peria's,bavaria's^bulgaria's
distinctively^instinctively,distinctively^instinctively
continuances^influences^issuances,influences^issuances
deangelis^los-angeles^televangelists(2),deangelis^los-angeles
consolata^dolata,consolata
cannella^citronella^gialanella^mannella,citronella^gialanella
abnormally^formally^informally^normally(0),abnormally^informally
abbreviations^affiliations^appropriations^associations^association's^associations^aviation's^creations^denunciations^depreciations^deviations^expropriations^humiliations^miscreations^negotiations(0)^negotiations(1)^pronunciations(0)^pronunciations(1)^radiation's^reconciliations^renegotiations^variations,aviation's^deviations^miscreations^radiation's^variations
acceptable(0)^acceptable(1)^perceptible^susceptible^unacceptable,acceptable(0)^acceptable(1)^perceptible^susceptible
academies^academy's,academies^academy's
batavia(0)^bonavia^hevia^moldavia(0)^octavia^pavia^saravia^scandinavia,batavia(0)^bonavia^moldavia(0)^octavia^saravia
auctioneering^bioengineering^domineering^electioneering^engineering^imagineering^oceaneering^pioneering^reengineering,auctioneering^domineering^engineering^oceaneering^pioneering
oppenheimer's^oppenheimers,oppenheimer's^oppenheimers
overpowers^superpowers,overpowers^superpowers
aloisia^aloysia,aloisia^aloysia
correction^direction(0)^insurrection^redirection^resurrection,insurrection^redirection^resurrection
compatriot^expatriate(1)^patriot,compatriot^expatriate(1)
coordinator^denominator^detonator^exterminator^illuminator^impersonator^originator^procrastinator^terminator,detonator^terminator
countersuing(0)^countersuing(1),countersuing(0)^countersuing(1)
forgettable(0)^forgettable(1)^regrettable^resettable^unforgettable,forgettable(0)^forgettable(1)^regrettable^resettable
hemispheric^stratospheric,hemispheric^stratospheric
giovannini^nannini,giovannini
mercedeses(0)^mercedes's(1),mercedeses(0)^mercedes's(1)
albertina^concertina^cortina^egbertina^gilbertina,albertina^concertina^egbertina^gilbertina
deformation^formation^malformation,deformation^malformation
analyze^panelize^reanalyse^tantalize(1),reanalyse
filomena^n'djamena^pertamina^philomena^romina,filomena^pertamina^philomena
contemporaneously^curiously^enviously^erroneously^extraneously^furiously^gloriously^harmoniously^hideously^hilariously^indubiously^instantaneously^laboriously^mysteriously(0)^notoriously^obviously^precariously^previously^seriously^simultaneously^spontaneously^studiously^tediously^unceremoniously^variously^vicariously,curiously^enviously^furiously^gloriously^hideously^obviously^previously^seriously^studiously^tediously^variously
creatologist^necrologist^volcanologist,necrologist
ambivalent^equivalent,ambivalent^equivalent
colonizers^ionizers^organizers,colonizers^ionizers^organizers
advantages(2)^advantages(3)^manages^vantages^vantages,advantages(2)^advantages(3)
fiorillo^morillo,fiorillo
berkemeier^eggemeyer^gronemeyer^hagemeier^hagemeyer^luetkemeyer^wedemeyer,berkemeier^eggemeyer^gronemeyer^hagemeier^hagemeyer^luetkemeyer^wedemeyer
argentieri^carpentieri,argentieri^carpentieri
philodendron^rhododendron,philodendron^rhododendron
decapitations^imitations^interpretations^invitations^irritations^limitations^meditations^palpitations^recitations^solicitations^visitations^visitations,imitations^invitations^irritations^limitations^meditations^palpitations^recitations^visitations^visitations
jaroszynski^kaczynski(1)^kozinski^lozinski^mrozinski^rogozinski,jaroszynski^rogozinski
kumagai^nagai,kumagai
lesbianism^parliamentarianism(1),lesbianism
connected(1)^disconnected^interconnected^reconnected^unconnected,disconnected^reconnected^unconnected
amplifiers^fortifiers^humidifiers^magnifiers^pacifiers^purifiers^qualifiers^rectifiers,amplifiers^fortifiers^magnifiers^pacifiers^purifiers^qualifiers^rectifiers
accelerometer^anemometer^densitometer^dynamometer^fluorometer(0)^fluorometer(1)^goniometer^hydrometer^hygrometer^interferometer^kilometer(0)^magnetometer^micrometer^odometer^spectrometer^speedometer^thermometer,fluorometer(0)^fluorometer(1)^hydrometer^hygrometer^kilometer(0)^micrometer^odometer^spectrometer^speedometer^thermometer
disobedient(0)^disobedient(1)^expedient^ingredient^obedient,expedient^ingredient^obedient
colonizer^demonizer^ionizer^organizer^womanizer,colonizer^demonizer^ionizer^organizer^womanizer
autopilot^gyropilot,autopilot^gyropilot
amendable^commendable^dependable^expendable^extendable^spendable,amendable^commendable^dependable^expendable^extendable
reanalyses^specializes(0)^stabilizes(0)^symbolizes(0)^tantalizes(1),specializes(0)^stabilizes(0)^symbolizes(0)^tantalizes(1)
borella^fiorella^morella^orela^tortorella,fiorella^tortorella
empirically(1)^lyrically,empirically(1)
misremember^remember(1),misremember
johannesen^johannessen,johannesen^johannessen
bionetic^helionetic,bionetic
pirrello^ruggirello^tirello,ruggirello
embellishing^relishing,embellishing
baranoski^janoski^romanoski,baranoski^romanoski
nifedipine(0)^nifedipine(1),nifedipine(0)^nifedipine(1)
singletary^singleterry,singletary^singleterry
abyssinian^apollinian^argentinian^augustinian^carolinian(0)^carolinian(1)^carthaginian^darwinian^finian^flaminian^palestinian^shahinian,abyssinian^darwinian^flaminian^shahinian
effectiveness(0)^ineffectiveness,effectiveness(0)
animism^dynamism^euphemism^optimism^pessimism,animism^dynamism^euphemism^optimism^pessimism
o'callaghan^ocallaghan,o'callaghan^ocallaghan
assembled^disassembled^reassembled,disassembled^reassembled
ecumenical^galenical^identical(1)^senecal^senechal,galenical^identical(1)
adriatic^asiatic^austroasiatic^hanseatic^pancreatic,adriatic^asiatic^hanseatic^pancreatic
conservatories^dormitories^interrogatories^laboratories^laboratories'^laboratory's^lavatories^observatories^observatory's^reformatories^repositories^signatories^territories,dormitories^laboratories^laboratories'^laboratory's^lavatories^signatories^territories
oshaughnessy^o'shaughnessy,oshaughnessy^o'shaughnessy
arata^baratta^bharata^camarata^cammarata,camarata^cammarata
theatergoer(0)^theatergoer(1),theatergoer(0)
custodio^rodeo,custodio
calamander^scalamandre(1)^subcommander,calamander^scalamandre(1)^subcommander
counteroffers(0)^counteroffers(1),counteroffers(0)^counteroffers(1)
abbreviated(1)^affiliated(1)^alleviated(1)^appreciated^appropriated^asphyxiated^delineated^depreciated^deviated^differentiated(0)^emaciated^enunciated^excoriated^expropriated^humiliated^infuriated(1)^initiated(1)^irradiated^mediated^misappropriated^negotiated(1)^permeated^radiated(1)^recreated(0)^renegotiated^repatriated^retaliated(0)^retaliated(1)^substantiated(0)^substantiated(1)^unaffiliated^unappreciated^undifferentiated^uninitiated^uninitiated^unsubstantiated,deviated^mediated^permeated^radiated(1)^recreated(0)
dispensary(0)^extrasensory^sensory,dispensary(0)
fiorito^saporito^vigorito,fiorito^saporito^vigorito
gregorie^gregory^grigory(0)^mcgregory^megarry,mcgregory
bodenhamer(0)^bodenhamer(1),bodenhamer(0)^bodenhamer(1)
ammonium^gonium^harmonium^pandemonium^plutonium^polonium^zirconium,ammonium^harmonium^plutonium^polonium^zirconium
administers^ministers^minister's^ministers'^ministers,administers
evacuate(0)^evacuate(1),evacuate(0)^evacuate(1)
entertainment's^entertainments^entertainment's^entertainments,entertainment's^entertainments^entertainment's^entertainments
charitably^equitably^veritably,charitably^equitably^veritably
discovered^rediscovered^undiscovered,rediscovered^undiscovered
overpayments^underpayments,overpayments^underpayments
constructed(1)^reconstructed^unreconstructed,reconstructed
intangibly^tangibly,intangibly
irreverent^reverent,irreverent
marketing^remarketing^telemarketing,remarketing
cafferty^halferty^lafferty^mcafferty^mccafferty^mcclafferty^mcclaugherty^mclafferty^rafferty,mcafferty^mccafferty^mcclafferty^mcclaugherty^mclafferty
overweighted^underweighted,overweighted^underweighted
acknowledgeable(0)^acknowledgeable(1)^eligible(1)^ineligible^manageable^negligible(1)^salvageable^unmanageable,eligible(1)^manageable^negligible(1)^salvageable
diversify(0)^diversify(1),diversify(0)^diversify(1)
analyzers^fertilizers^mobilizers^stabilizers^sterilizers^tranquilizers,analyzers^fertilizers^mobilizers^stabilizers^sterilizers^tranquilizers
avoidable^unavoidable,avoidable
abella^annabella^arabella^colabella^isabella^labella^marabella^sabella,annabella^arabella^colabella^isabella^marabella
mattikalli^mexicali,mattikalli^mexicali
wienerschnitzel's^wienerschnitzel's,wienerschnitzel's^wienerschnitzel's
complementing^complimenting^experimenting(0)^implementing(0),complementing^complimenting^implementing(0)
abysmally^dismally,abysmally
altimeter^estimator(0)^perimeter^polarimeter,altimeter^estimator(0)^perimeter
enterprises^enterprises'^enterprises^enterprises'^enterprise's(1)^enterprise's(3),enterprises^enterprises'^enterprises^enterprises'^enterprise's(1)^enterprise's(3)
overtaken^undertaken,overtaken^undertaken
dromedary^lapidary,dromedary^lapidary
mississippi's^mississippis,mississippi's^mississippis
masquerading^parading,masquerading
electricians^electricians',electricians^electricians'
iacono^loiacono,iacono^loiacono
barbarino^boscarino^carino^carrino^cassarino^demarino^dimarino^farino^garbarino^giammarino^guarino^mandarino^parrino^savarino,barbarino^boscarino^cassarino^demarino^dimarino^garbarino^giammarino^mandarino^savarino
okaloosa(0)^okaloosa(1)^tuscaloosa,okaloosa(0)^okaloosa(1)^tuscaloosa
audiotex^videotex,audiotex^videotex
pollinated^polychlorinated^ruminated,pollinated^ruminated
popolare^scolari^solari,popolare
astronomers^monomers,astronomers
constituted^instituted^substituted,constituted^instituted^substituted
affiliate(1)^grilliot,affiliate(1)
cross-pollinate^pollinate^self-pollinate,cross-pollinate^self-pollinate
disinvestment(0)^investment(0)^reinvestment(0),disinvestment(0)^reinvestment(0)
mcconaghy^mcconaughy,mcconaghy^mcconaughy
overstating^understating,overstating^understating
hayashi^kobayashi^ohbayashi^wakabayashi,kobayashi^ohbayashi
consentino^corsentino^cosentino^ferrentino^fiorentino^florentino^tolentino,consentino^corsentino^cosentino^ferrentino^florentino^tolentino
commissioner's^commissioners^conditioners^parishioners^petitioners^practitioners(0),commissioner's^commissioners^conditioners^parishioners^petitioners^practitioners(0)
parazoa^protozoa,parazoa^protozoa
bucciarelli^ceccarelli^ciccarelli^ferrelli^masciarelli^pucciarelli^zuccarelli,bucciarelli^ceccarelli^ciccarelli^masciarelli^pucciarelli^zuccarelli
bingenheimer^bodenheimer^gegenheimer^meisenheimer^misenheimer,bingenheimer^bodenheimer^gegenheimer^meisenheimer^misenheimer
delusion^disillusion^illusion,disillusion
actmedia^encyclopaedia(0)^encyclopaedia(1)^encyclopedia(0)^encyclopedia(1)^expedia^intermedia^macromedia^media^metromedia^multimedia(0)^multimedia(1)^telemedia^transmedia^unimedia,actmedia^expedia^transmedia
accentuated^evacuated(0)^evacuated(1)^fluctuated^graduated(1)^perpetuated,fluctuated^graduated(1)
customarily^extraordinarily^farrelly^merrily^militarily^momentarily^necessarily^ordinarily^primarily^secondarily^temporarily^voluntarily^warily^wearily,primarily
fallaciously^graciously^hellaciously^ostentatiously^tenaciously,fallaciously^hellaciously^tenaciously
counterinsurgency(0)^counterinsurgency(1)^emergency(0)^insurgency^nonemergency^resurgency(0)^resurgency(1)^urgency,emergency(0)^insurgency^resurgency(0)^resurgency(1)
implausibly^plausibly,implausibly
degidio^dovidio^medio(0)^servidio,degidio^dovidio^servidio
cellio^cornelio^deleo^elio^vecellio,cornelio^vecellio
agregable^illegible^legible,agregable^illegible
idiocy^immediacy,idiocy
accumulative^manipulative^regulative^stimulative,regulative^stimulative
wanamaker^wannamaker,wanamaker^wannamaker
adjustable^combustable,adjustable^combustable
mainichi^shinichi,mainichi
advisable^inadvisable(0)^inadvisable(1)^realizable^recognizable^sizable^sizeable^unrecognizable,advisable
ciszewski^janiszewski^kaliszewski^liszewski^maliszewski^staniszewski,janiszewski^kaliszewski^maliszewski^staniszewski
comedian^garabedian^median,comedian
gutkowski^kwiatkowski^piatkowski^ratkowski^rutkowski^swiatkowski^szatkowski,kwiatkowski^piatkowski^swiatkowski
arico^carico^carrico^talarico^tallarico^tricarico,talarico^tallarico^tricarico
nonreligious^religious(0)^semireligious(0)^semireligious(1)^semireligious(2),nonreligious
briguglio^truglio,briguglio
europeans^europeans',europeans^europeans'
cooperider^cooperrider,cooperider^cooperrider
moriarty^uriarte,moriarty^uriarte
carioca^fujioka^morioka^nishioka^yoshioka,carioca^fujioka^morioka^nishioka^yoshioka
permanente^permenante,permanente^permenante
aquariums^herbariums(0)^herbariums(1)^honorariums,aquariums^herbariums(0)^herbariums(1)
antibiotic(0)^idiotic^patriotic^semiotic^symbiotic^unpatriotic,idiotic^patriotic^semiotic^symbiotic
mcelhiney^mcelhinney^mcelhinny,mcelhiney^mcelhinney^mcelhinny
unworkable^workable,unworkable
frustration^illustration^ministration^orchestration^sequestration,illustration^ministration^orchestration^sequestration
montagnino^tognino,montagnino
disorganized^organized^reorganized^unorganized,disorganized^reorganized^unorganized
interfaces(0)^interfaces(1),interfaces(0)^interfaces(1)
contaminate^decontaminate^laminate(1),contaminate
akkadian^arcadian^canadian^chadian^circadian^mooradian^mouradian^pancanadian,akkadian^arcadian^canadian^circadian^mooradian^mouradian
despicable^explicable^extricable,despicable^explicable^extricable
cosmology^necrology^opthalmology^rheology^scatology^thanatology^topology,cosmology^necrology^rheology^scatology^topology
editorialized^industrialized^materialized^memorialized^serialized^trivialized(0),serialized^trivialized(0)
frustrations^illustrations^ministrations^orchestrations,illustrations^ministrations^orchestrations
constitution^prostitution,constitution^prostitution
insignificance^significance(0)^significance(1),significance(0)^significance(1)
illiterate^literate,illiterate
arellano^castellano^celano,arellano^castellano
carpentier^parmentier,carpentier^parmentier
afghanistan's^afghanistans,afghanistan's^afghanistans
carmelita^lalita,carmelita
spagnuolo^vuolo,spagnuolo
abiola's^violas,abiola's
accreditation^agitation^amputation^annotation^cohabitation^commutation^computation^connotation^dilatation^equitation^facilitation^habitation^hesitation^imitation^imputation^inhabitation^meditation^misinterpretation^palpitation^premeditation^prestidigitation^recitation^rehabilitation(0)^rehabilitation(1)^reinterpretation^reputation^sanitation(0)^vegetation,agitation^amputation^annotation^commutation^computation^connotation^dilatation^equitation^habitation^hesitation^imitation^imputation^meditation^palpitation^recitation^reputation^sanitation(0)^vegetation
comprehension^misapprehension,comprehension
falani(0)^kahalani^leilani,kahalani
laryngitis^meningitis,laryngitis^meningitis
teherani's^teheranis,teherani's^teheranis
attrition^geriatrician^obstetrician^patrician^pediatrician,obstetrician
monopolies^panopolys,monopolies^panopolys
messineo^mineo^pineo^pinneo,messineo
community(1)^immunity(1)^impunity^unity^unity,community(1)^immunity(1)^impunity
fredericka^frederika,fredericka^frederika
communities(1)^community's^immunities,communities(1)^community's^immunities
gallerani^teherani^varani,gallerani^teherani
cavagnaro^stagnaro,cavagnaro
cornacchia^czechoslovakia^lamacchia^slovakia,cornacchia^lamacchia^slovakia
dietetic^peripatetic,dietetic
get-togethers(0)^get-togethers(1)^togethers,get-togethers(0)^get-togethers(1)
decision^indecision^recision^rescission,indecision
improvising^televising,improvising^televising
intemperate^temperate(1),intemperate
ambivalence^equivalence,ambivalence^equivalence
countenances^eminences^ordinances,countenances^eminences^ordinances
nonprescription^prescription,nonprescription
avionics^histrionics^nucleonics,avionics^histrionics^nucleonics
colombia^columbia,colombia^columbia
ostensibly^sensibly,ostensibly
institution^restitution^substitution,institution^restitution^substitution
counterfeiters(0)^counterfeiters(1),counterfeiters(0)^counterfeiters(1)
continental's^continentals(0),continental's^continentals(0)
detachable(0)^detachable(1),detachable(0)^detachable(1)
engebretsen^engebretson,engebretsen^engebretson
aleksander(1)^aleksandr(1),aleksander(1)^aleksandr(1)
chemerinsky^kurinsky,chemerinsky
espinola^spinola,espinola
moneymaking^moviemaking^policymaking,moneymaking^moviemaking
elevators^excavators^innovators(0)^renovators,elevators^excavators^innovators(0)^renovators
kitagawa^miyagawa^nakagawa^ninagawa^udagawa,kitagawa^miyagawa^nakagawa^ninagawa^udagawa
integrators(0)^integrators(1),integrators(0)^integrators(1)
activator^elevator^excavator^innovator(0)^motivator^renovator,activator^elevator^excavator^innovator(0)^motivator^renovator
caladiums^stadium's^stadiums,caladiums
classify^declassify^pacify,declassify
conclusively^effusively^exclusively,conclusively^effusively^exclusively
ionosphere(0)^ionosphere(1),ionosphere(0)^ionosphere(1)
amputations^computations^mutations^permutations,amputations^computations^permutations
antibodies(1)^everybody's,antibodies(1)^everybody's
nonrecurring^recurring(0),nonrecurring
borello^borrello^fiorello^lorello^torello^tortorello,fiorello^tortorello
ancillary^capillary^constabulary^corollary^epistolary^formulary^vocabulary,ancillary^capillary^corollary^formulary
ameribanc^veribanc,ameribanc
directorate(0)^directorate(1)^directorate(2)^directorate(3)^electorate(0)^inspectorate^protectorate,directorate(0)^directorate(1)^directorate(2)^directorate(3)^electorate(0)^inspectorate^protectorate
alphandery^mcadory,alphandery^mcadory
mevarach's^mevarachs^nevarach's,mevarach's^mevarachs^nevarach's
mechanically^organically^volcanically,mechanically^organically^volcanically
alliances^alliance's^alliances^appliances(1)^reliance's(0)^reliance's(1)^sciences^science's^sciences'^sciences,alliances^alliance's^alliances^appliances(1)^reliance's(0)^reliance's(1)
aghazadeh^aqazadeh,aghazadeh^aqazadeh
bordonaro^carbonaro,bordonaro^carbonaro
adjusted(1)^maladjusted^readjusted^unadjusted,maladjusted^readjusted^unadjusted
arterberry^atterberry^atterbury^canterbury^leatherberry^leatherbury^waterbury,arterberry^atterberry^atterbury^canterbury^leatherberry^leatherbury^waterbury
audacity^capacity(0)^incapacity^opacity^overcapacity^voracity^voracity,audacity^capacity(0)^opacity^voracity^voracity
maserati^seratti,maserati
delafuente^lafuente,delafuente
ischemia^vremya,ischemia
choreograph^mimeograph,choreograph^mimeograph
bianca^labianca^pianka,labianca
methodically(1)^periodically(1),methodically(1)
counteracting^interacting(0)^interacting(1),counteracting^interacting(0)^interacting(1)
commiserate^eviscerate,commiserate^eviscerate
cetacean(0)^cogitation^decapitation^gravitation^incapacitation^interpretation^invitation^irritation^levitation^limitation^precipitation^resuscitation^sanitation(1)^solicitation^visitation^visitation,cogitation^gravitation^invitation^irritation^levitation^limitation^sanitation(1)^visitation^visitation
authorities'^authority's^majorities,authorities'^authority's^majorities
equivocal^unequivocal(0)^unequivocal(1),equivocal
bassetti^tomasetti^tomassetti,tomasetti^tomassetti
amalgamating^automating^consummating^decimating^estimating^overestimating,automating^consummating^decimating^estimating
amazonians^babylonians^caledonian's^estonians^jacksonians^jeffersonians^oregonians^smithsonian's(0)^smithsonian's(1)^washingtonians^washingtonians,estonians^jacksonians^smithsonian's(0)^smithsonian's(1)
acidify^dehumidify^solidify,acidify^solidify
dishonesty^honesty,dishonesty
aleksander(0)^aleksandr(0)^alexander(0),aleksander(0)^aleksandr(0)^alexander(0)
aoyama(1)^koyama^oyama^toyama^yokoyama,aoyama(1)^yokoyama
cowering^devouring^empowering^flowering^glowering^powering^scouring^showering^souring^towering(0),devouring^empowering
alvarado^colorado(0)^corrado^desperado^eldorado^silverado,alvarado^colorado(0)^desperado^eldorado^silverado
curriculum^diverticulum,curriculum
miramontes^viramontes,miramontes^viramontes
annihilate^violate,annihilate
hamamoto^iwamoto^kawamoto^kuramoto^miyamoto^muramoto^nakamoto^sakamoto^tsukamoto(0)^tsukamoto(1)^yamamoto,hamamoto^iwamoto^kawamoto^kuramoto^miyamoto^muramoto^nakamoto^sakamoto^tsukamoto(0)^tsukamoto(1)^yamamoto
d'agostino^justino,d'agostino
ambrosino^petrosino,ambrosino^petrosino
arabian^fabian^kasabian^mehrabian(0)^mehrabian(1),arabian^kasabian^mehrabian(0)^mehrabian(1)
conservatorship^editorship^proprietorship,editorship
associate(3)^disassociate(0)^negotiate(0)^negotiate(1)^renegotiate,associate(3)^negotiate(0)^negotiate(1)
gardinier(0)^gordinier,gardinier(0)^gordinier
admirable(0)^adorabelle^answerable^comparable(0)^considerable^deliverable(0)^desirable(1)^discoverable(0)^dishonorable^favorable(0)^hon(2)^honorable^imponderable^incomparable^inexorable^innumerable^inoperable^inseparable^insufferable^intolerable^invulnerable^irreparable^maneuverable^measurable^memorable^miserable(0)^operable^pleasurable^preferable(0)^recoverable^tolerable^unalterable^unanswerable^unfavorable^venerable^vulnerable,admirable(0)^adorabelle^answerable^comparable(0)^favorable(0)^hon(2)^honorable^measurable^memorable^miserable(0)^operable^pleasurable^preferable(0)^tolerable^venerable^vulnerable
counterinsurgencies(0)^counterinsurgencies(1)^emergencies(0)^insurgencies,emergencies(0)^insurgencies
confrontation^disorientation^experimentation^fermentation^fragmentation^pigmentation^presentation^recantation(0)^sedimentation^segmentation,confrontation^fermentation^fragmentation^pigmentation^presentation^recantation(0)^segmentation
dell'aquila^maquila,dell'aquila
disintegrate^integrate(0)^reintegrate,disintegrate^reintegrate
ardine^bernardini^gardini^nardini^pardini^yardeni,bernardini
alicea^alysia^licea,alicea^alysia
brendlinger(0)^brentlinger(0)^caplinger(0)^denlinger(0)^derflinger(0)^doerflinger(0)^dondlinger(0)^durflinger(0)^eslinger(0)^esslinger(0)^keplinger(0)^kightlinger(0)^kiplinger(0)^neidlinger(0)^oblinger(0)^oplinger(0)^redlinger(0)^remlinger(0)^riedlinger(0)^ripplinger(0)^taflinger(0),brendlinger(0)^brentlinger(0)^caplinger(0)^denlinger(0)^derflinger(0)^doerflinger(0)^dondlinger(0)^durflinger(0)^eslinger(0)^esslinger(0)^keplinger(0)^kightlinger(0)^kiplinger(0)^neidlinger(0)^oblinger(0)^oplinger(0)^redlinger(0)^remlinger(0)^riedlinger(0)^ripplinger(0)^taflinger(0)
evilsizer^evilsizor,evilsizer^evilsizor
authorizes^categorizes^cauterizes^demilitarizes^depressurizes^memorizes^mischaracterizes^pasteurizes^polarizes^pressurizes^satirizes^summarizes^terrorizes^theorizes,authorizes^cauterizes^memorizes^pasteurizes^polarizes^pressurizes^satirizes^summarizes^terrorizes^theorizes
electrical^nonelectrical,electrical
allegories^categories,allegories^categories
amadeus^asmodeus,amadeus^asmodeus
differences(0)^preferences(0)^references(0)^tolerances^utterances,differences(0)^preferences(0)^references(0)^tolerances^utterances
anthropologists(3)^archaeologists(2)^cardiologists(2)^climatologists(2)^climatologists(3)^corologis^criminologists(2)^dermatologists(2)^ecologists(2)^ecologists(3)^epidemiologists(2)^geologists(2)^ideologists(2)^kremlinologists(2)^meteorologists(2)^microbiologists(1)^oncologists(2)^ophthalmologists(1)^ophthalmologists(3)^paleontologists(2)^pharmacologists(2)^radiologists(2)^sociologists(2)^sovietologists(2)^technologists(2)^toxicologists(2)^virologists^virologists^virologists,corologis^ecologists(2)^ecologists(3)^geologists(2)^oncologists(2)^technologists(2)^virologists^virologists^virologists
accelerator^carburetor^cogenerator^collaborator^decorator^evaporator(0)^evaporator(1)^generator^incinerator^moderator^operator^recuperater^refrigerator(0)^refrigerator(1)^respirator,carburetor^decorator^generator^moderator^operator^respirator
humidity's^liquidities,humidity's^liquidities
desposito^losito^sposito,desposito
evangelists(0)^evangelists(1),evangelists(0)^evangelists(1)
outperforming^underperforming,outperforming
distributive^redistributive(0),distributive
agreeable^disagreeable^foreseeable^forseeable(0)^forseeable(1)^unforeseeable,agreeable^foreseeable^forseeable(0)^forseeable(1)
arcadians^canadian's^canadians^canadians',arcadians^canadian's^canadians^canadians'
asperity^austerity^charity^clarity(1)^dexterity(1)^garrity^gerety^gerrity^insularity^rarity(1)^severity^unpopularity^varity^verity^verity^vulgarity,asperity^austerity^dexterity(1)^severity^vulgarity
cumulative^noncumulative^speculative,cumulative^speculative
belligerents^refrigerants,belligerents^refrigerants
korzeniewski(1)^zaniewski^zaniewski,korzeniewski(1)
bonadonna^madonna,bonadonna
presidencies^presidency's,presidencies^presidency's
claustrophobic^homophobic,claustrophobic^homophobic
grandinetti^sanguinetti,grandinetti^sanguinetti
appreciate^depreciate,appreciate^depreciate
carangelo^colangelo^darcangelo^fratangelo^mastrangelo^pietrangelo^santangelo^stangelo,carangelo^colangelo^darcangelo^fratangelo^mastrangelo^pietrangelo^santangelo
galanti^vigilante^ypsilanti,vigilante^ypsilanti
albania's^lithuania's^lusitania's^lusitanias^romania's^tanzania's(0),albania's^romania's^tanzania's(0)
pignataro^spataro,pignataro
impersonal^interpersonal,impersonal
josefina(1)^josephina(1)^petrofina(0)^sarafina,josefina(1)^josephina(1)^petrofina(0)^sarafina
calamia^lamia^macadamia^mesopotamia,calamia
environment's^environments,environment's^environments
abnormalities^brutalities^commonalities^fatalities(0)^formalities^generalities^modalities^realities^technicalities^tonalities,brutalities^fatalities(0)^formalities^modalities^realities^tonalities
recipient's^recipients^recipients',recipient's^recipients^recipients'
donahue(0)^donoghue(0)^donohue(0)^o'donoghue^odonoghue(0)^o'donoghue^o'donohue^odonohue,o'donoghue^odonoghue(0)^o'donoghue^o'donohue^odonohue
initialing^initialling,initialing^initialling
serenaded^unaided,serenaded
aix-en-provence(0)^aix-en-provence(1),aix-en-provence(0)^aix-en-provence(1)
osullivan^sullivan(1),osullivan
degeneres(0)^degeneres(1),degeneres(0)^degeneres(1)
diasonic^masonic^panasonic^ultrasonic,diasonic^panasonic^ultrasonic
fluorescently(0)^fluorescently(1)^incessantly,fluorescently(0)^fluorescently(1)^incessantly
penna(1)^transylvania(1),penna(1)^transylvania(1)
arcosanti^colasanti,arcosanti^colasanti
moneycenter^multicenter,moneycenter^multicenter
characterize^mischaracterize,characterize
correctional^directional(0)^sectional,correctional^directional(0)
countercharges(0)^countercharges(1)^overcharges,countercharges(0)^countercharges(1)^overcharges
komatani^punxatauney,komatani^punxatauney
consecration^desecration(0)^desecration(1),consecration^desecration(0)^desecration(1)
evaporates(0)^evaporates(1),evaporates(0)^evaporates(1)
obscenely(0)^serenely(0),obscenely(0)^serenely(0)
allocations^amplifications^applications^authentications^certifications^classifications^communications^communications'^complications^diversifications(0)^diversifications(1)^fortifications^identifications(0)^identifications(1)^implications^indications^magnifications^medications^modifications^notifications^pontifications^prognostications^provocations^qualifications^ramifications^revocations^specifications^telecommunications^telecommunications',allocations^applications^complications^implications^indications^medications^provocations^revocations
candia^islandia^sandia^scandia^skandia(1),islandia
boilermaker^fenstermaker,boilermaker^fenstermaker
micropolis^neopolis,micropolis^neopolis
manipulate^stipulate,manipulate
recommited(1)^uncommitted,recommited(1)^uncommitted
hypersensitive^insensitive(1)^sensitive(1),insensitive(1)
apprehensive(1)^comprehensive,apprehensive(1)^comprehensive
aguadilla^padilla,aguadilla
amateur(0)^diameter^parameter,diameter^parameter
adelizzi^mcaleese(1)^talese(1),adelizzi^mcaleese(1)
belluomini^domine^giacomini,belluomini^giacomini
unwinnable^winnable,unwinnable
competition^dietician^dietitian^mathematician^petition^politician^repetition^theoretician,competition^dietician^dietitian^politician^repetition
carena^ekaterina^katharina^tijerina,katharina^tijerina
attenuate^extenuate,attenuate^extenuate
