diguglielmo^guglielmo,diguglielmo
attenuated^devaluated^graduated(0)^infatuated^insinuated^punctuated^reevaluated^situated,attenuated^devaluated^infatuated^insinuated
secrecy^semisecrecy(0)^semisecrecy(1),semisecrecy(0)^semisecrecy(1)
acquisition^composition^decomposition(1)^deposition^disposition^exposition^imposition^inquisition^juxtaposition^opposition^physician^position^predisposition^presupposition^proposition^redeposition^reimposition^reposition^requisition^supposition,decomposition(1)^juxtaposition^predisposition^presupposition^redeposition^reimposition
ecumenical^galenical^identical(1)^senecal^senechal,ecumenical
bradycardia(0)^bradycardia(1)^cardia^gardea^guardia^la-guardia^laguardia^procardia,bradycardia(0)^bradycardia(1)
anniversaries^nurseries,anniversaries
bonica^donica^harmonica^japonica(1)^konica^microelettronica^monica^telefonica^veronica,telefonica
controversial^noncontroversial^uncontroversial,noncontroversial^uncontroversial
confindustria^industria,confindustria
disestablishment^establishment(0)^establishment(1),disestablishment
magisterial^ministerial,magisterial^ministerial
antipoverty(0)^antipoverty(1)^poverty,antipoverty(0)^antipoverty(1)
colonialists(1)^editorialists(1)^imperialists(1)^industrialists(1),colonialists(1)^imperialists(1)^industrialists(1)
excusable^fusible^inexcusable^reusable^unusable^usable,inexcusable
mitochondrion^mondrian(0),mitochondrion
microgenesys^organogenesis,microgenesys
irresponsible^responsible,irresponsible
christianity^hannity^humanity(0)^humanity(1)^insanity(1)^vanity^vanity,christianity
impeachable^reachable^teachable^unimpeachable^unreachable,unimpeachable
diamagnetism^elitism(0)^favoritism^semitism,favoritism
insubstantiate(0)^substantiate(0),insubstantiate(0)
neoplatonist^platonist,neoplatonist
counterbalances(0)^counterbalances(1),counterbalances(0)^counterbalances(1)
appropriators^aviators^conciliator's^gladiators^initiators^mediators^negotiators'^negotiator's^negotiators^radiators,appropriators^conciliator's^initiators^negotiators'^negotiator's^negotiators
catino^disabatino^latino(0)^patino^sabatino^salatino,disabatino
disoriented^oriented(1),disoriented
documentary(1)^documentary(3)^fitzhenry(0)^henery^henrie^mcenery^parliamentary(1)^plenary(0)^supplementary(1),documentary(1)^documentary(3)^parliamentary(1)^supplementary(1)
condominium^didinium^minium,condominium
agonizingly^tantalizingly(0)^tantalizingly(1),agonizingly^tantalizingly(0)^tantalizingly(1)
jurisprudential(0)^prudential(1),jurisprudential(0)
regionals^superregionals'^superregionals,superregionals'^superregionals
anti-infective^infective,anti-infective
incompetency^militancy,incompetency
dorians^historians^ivorians^kerkorian's^singaporeans^victorians,singaporeans
belated^elated(1)^interrelated(0)^related(0),interrelated(0)
hypersensitive^insensitive(1)^sensitive(1),hypersensitive
abbreviation^affiliation^alleviation^appreciation^appropriation^association(0)^association(1)^aviacion^aviation^conciliation^creation^d'aviation^delineation^denunciation^depreciation^deviation^differentiation(0)^differentiation(1)^dissociation^exfoliation^expatriation^expropriation^foliation^glaciation^humiliation^initiation^instantiation^irradiation^mediation^misappropriation^miscreation^negotiation^nucleation^procreation^pronunciation(0)^pronunciation(1)^radiation^reaffiliation^reconciliation^recreation^remediation^renegotiation^renunciation^repatriation^repudiation^retaliation^substantiation(0)^substantiation(1)^variation,abbreviation^affiliation^alleviation^appreciation^appropriation^association(0)^association(1)^conciliation^delineation^denunciation^depreciation^dissociation^exfoliation^expatriation^expropriation^humiliation^initiation^instantiation^irradiation^negotiation^pronunciation(0)^pronunciation(1)^remediation^renunciation^repatriation^repudiation^retaliation^substantiation(0)^substantiation(1)
confidentially(0)^essentially(0)^essentially(1)^eventually(1)^eventually(3)^exponentially(0)^potentially(0)^preferentially(1)^presidentially(1),confidentially(0)^exponentially(0)^preferentially(1)^presidentially(1)
bancoklahoma^oklahoma,bancoklahoma
anable^attainable^explainable^obtainable^sustainable^trainable^unattainable^unexplainable^unobtainable^unsustainable,unattainable^unexplainable^unobtainable^unsustainable
d'electricite(1)^electricite,d'electricite(1)^electricite
economico^iannamico,economico^iannamico
deregulate^overregulate^regulate^reregulate,overregulate
insignificance^significance(0)^significance(1),insignificance
amalfitano^capitano^garritano^napolitano^politano^reitano,amalfitano^napolitano
insensitive(0)^oversensitive^sensitive(0),oversensitive
attributable^charitable(0)^charitable(1)^creditable^disreputable^equitable(0)^forfeitable^habitable^heritable^imitable^indomitable^inequitable^inevitable^inheritable^inhospitable(0)^inimitable^irritable^marketable^palatable^profitable^reputable^uninhabitable^unpalatable,attributable^disreputable^indomitable^inequitable^inevitable^inheritable^inhospitable(0)^inimitable^unpalatable
adenovirus^hantavirus,adenovirus
bioengineer^reengineer,bioengineer
infrastructural^structural,infrastructural
acrimonious^antonius^erroneous(0)^erroneous(1)^felonious^harmonious^palonius^parsimonious^sanctimonious^thelonius^unceremonious,acrimonious^parsimonious^sanctimonious
biographers^choreographer's^choreographers^demographers^lexicographers^photographer's^photographers^pornographers,choreographer's^choreographers^lexicographers
equivocal^unequivocal(0)^unequivocal(1),unequivocal(0)^unequivocal(1)
maniacs^nymphomaniacs(0)^nymphomaniacs(1),nymphomaniacs(0)^nymphomaniacs(1)
estimate(1)^overestimate^underestimate(0),overestimate^underestimate(0)
interventionists(2)^interventionists(3),interventionists(2)^interventionists(3)
autobiographer^biographer^choreographer^cinematographer^crystallographer^demographer^geographer^lexicographer^oceanographer^photographer^pornographer,choreographer^crystallographer^lexicographer^oceanographer
creditably^inevitably^profitably,inevitably
chariot^harriet^herriott(1)^iscariot^lariat^marriott^merriott^proletariat^secretariat,proletariat^secretariat
buttacavoli^davoli^licavoli,buttacavoli
chameleon(0)^deleon^machiavellian(0)^machiavellian(1)^machivellian^orwellian,machiavellian(1)^machivellian
development^redevelopment^underdevelopment,redevelopment
cracchiolo^magliolo^monticciolo^prioleau^priolo^riolo^triolo,monticciolo
iole^mattioli^petricioli^ravioli^scioli,petricioli
rebelliousness^seriousness,rebelliousness
asymmetrical^geometrical^metrical^obstetrical^symmetrical,asymmetrical^geometrical
anachronisms^antagonisms^communism's^mechanisms^microorganisms^organism's^organisms^puritanisms,anachronisms^antagonisms^puritanisms
evacuations(0)^evacuations(1)^graduations(1),evacuations(0)^evacuations(1)
neurosurgery^perjury^surgery,neurosurgery
catatonic^diatonic^isotonic^neoplatonic^platonic,neoplatonic
quantitatively(0)^quantitatively(1),quantitatively(0)^quantitatively(1)
anesthesiologist^anthropologist(0)^apologist^biologist^endocrinologist^entomologist^geologist^gynecologist^ideologist^musicologist^neurologist^pathologist^psychologist^rheumatologist^scientologist^seismologist^urologist^zoologist,anthropologist(0)^entomologist^gynecologist^ideologist^musicologist^rheumatologist^scientologist
bialy^curiale^imperiale^industriale^industriali^parziale^speziale^zeoli,imperiale^industriale^industriali
intimidating^liquidating,intimidating
covelli^iacovelli^novelli,iacovelli
brutalization^formalization,brutalization^formalization
interventionists(0)^interventionists(1),interventionists(0)^interventionists(1)
electric^hydroelectric^photoelectric,hydroelectric^photoelectric
irresponsibly^responsibly,irresponsibly
confidentially(1)^exponentially(1)^potentially(1)^preferentially(0)^presidentially(0)^quintessentially^sequentially^tangentially,confidentially(1)^exponentially(1)^preferentially(0)^presidentially(0)^quintessentially
computer's^computers^computers'^microcomputers^minicomputers^supercomputers,microcomputers^minicomputers^supercomputers
amalgamating^automating^consummating^decimating^estimating^overestimating,amalgamating
anthropomorphism^dimorphism^dwarfism^isomorphism^polymorphism(0),isomorphism^polymorphism(0)
inadmissibly(0)^inadmissibly(1),inadmissibly(0)^inadmissibly(1)
aberrations^admirations^alterations^aspirations^collaborations^commemorations^configurations^considerations^cooperations(0)^cooperations(1)^corporation's^corporations^corporations'^corp's^corp.'s^corp's^corp.'s^declarations^decorations^deliberations^discolorations^exaggerations^expirations^federation's^federations^generation's^generations^inaugurations^incorporation's^incorporations^inspirations^lacerations^operation's^operations^operations'^perforations^preparations^reparations^restorations^reverberations^separations^ulcerations,collaborations^commemorations^configurations^considerations^cooperations(0)^deliberations^discolorations^exaggerations^inaugurations^incorporation's^incorporations^reverberations
immaturity^insecurity^maturity(1)^purity(1),immaturity^insecurity
agoraphobia^cancerphobia^claustrophobia^cobia^homophobia^phobia^robia^tobia^xenophobia^zenobia,cancerphobia^claustrophobia^homophobia^xenophobia
accumulators^calculators^deregulators^escalators^insulators^manipulators^oscillators^percolators^purolator's^regulator's^regulators^regulators'^simulators^speculators^stimulators^violators,accumulators^deregulators^manipulators
copulate^depopulate^overpopulate^populate,overpopulate
diabolical^follicle(1),diabolical
acclamation^acclimation^amalgamation^animation^approximation^automation^consummation^defamation^estimation^exclamation^inflammation^intimation^proclamation^reclamation^summation,amalgamation^approximation
accumulatively(1)^affirmatively^alternatively^appreciatively(1)^comparatively^consecutively^conservatively^cooperatively^cumulatively^figuratively^imaginatively^negatively^positively^prohibitively^provocatively^relatively^tentatively(0),affirmatively^alternatively^appreciatively(1)^comparatively^consecutively^conservatively^cooperatively^cumulatively^figuratively^prohibitively^provocatively
amphitheater^amphitheatre,amphitheater^amphitheatre
colonialists(0)^editorialists(0)^imperialists(0)^industrialists(0),colonialists(0)^imperialists(0)^industrialists(0)
introductory(0)^introductory(1),introductory(0)^introductory(1)
conservatories^dormitories^interrogatories^laboratories^laboratories'^laboratory's^lavatories^observatories^observatory's^reformatories^repositories^signatories^territories,conservatories^observatories^observatory's^reformatories^repositories
additional(0)^compositional^conditional^depositional^nontraditional^nutritional^traditional^transitional(0)^transitional(1)^unconditional^untraditional,compositional^depositional^nontraditional^unconditional^untraditional
amicable^impracticable^inapplicable^inextricable,impracticable^inapplicable^inextricable
creatologists(0)^necrologists(0),creatologists(0)
biomedical^medical(1),biomedical
)close-parentheses^)end-parentheses^(in-parentheses^(open-parentheses^(parentheses^parentheses,)close-parentheses^)end-parentheses^(in-parentheses
abbatiello^cappiello^cariello^cartusciello^ciriello^coviello^daniello^fariello^giovanniello^ianniello^manganiello^masiello^mauriello^minichiello^nardiello^pasquariello^perriello^picariello^riviello^romaniello^santaniello^torsiello^tortoriello^vitiello,abbatiello^cartusciello^giovanniello^ianniello^manganiello^minichiello^pasquariello^picariello^romaniello^santaniello^tortoriello
corrupted^interrupted(0)^interrupted(1)^uninterrupted^uninterrupted,uninterrupted^uninterrupted
intermagnetics^magnetics,intermagnetics
batticaloa^stalowa,batticaloa
isolationists(0)^preservationists(0)^reservationists(0)^segregationists(0),isolationists(0)^preservationists(0)^reservationists(0)^segregationists(0)
coordinator^denominator^detonator^exterminator^illuminator^impersonator^originator^procrastinator^terminator,coordinator^denominator^exterminator^illuminator^impersonator^originator^procrastinator
affinity(0)^alkalinity^divinity^femininity^infinity(0)^masculinity^mcginnity^salinity^trinity(0),alkalinity^femininity^masculinity
disintegrated^emigrated^immigrated^integrated(1)^integrated(3)^reintegrated,disintegrated^reintegrated
inhumanity^insanity(0)^manatee^profanity^sanity,inhumanity
abouhalima^alima,abouhalima
assyrians^biospherians^liberians^nigerians^presbyterians(0)^presbyterians(1)^syrians^zairian's^zairians,biospherians^presbyterians(0)^presbyterians(1)
interchangeably(0)^interchangeably(1),interchangeably(0)^interchangeably(1)
intermediates(0)^intermediates(2),intermediates(0)^intermediates(2)
bonaventura^ventura^ventura,bonaventura
cosmopolitan^metropolitan^neapolitan,cosmopolitan^metropolitan^neapolitan
efficiently^inefficiently^insufficiently^sufficiently,inefficiently^insufficiently
consentino^corsentino^cosentino^ferrentino^fiorentino^florentino^tolentino,fiorentino
anticipated(0)^constipated^participated(0),anticipated(0)^participated(0)
natural(0)^supernatural^unnatural,supernatural
jealously^overzealously^zealously^zealously,overzealously
coprocessor^microprocessor^multiprocessor^processor,microprocessor^multiprocessor
alphabetizing^democratizing^desensitizing^digitizing^dramatizing^prioritizing^privatizing^proselytizing^sanitizing^securitizing^stigmatizing^unappetizing,alphabetizing^democratizing^desensitizing^prioritizing^proselytizing^securitizing^unappetizing
melanesian^peleponnesian^peloponnesian,peleponnesian^peloponnesian
abdicated^advocated(0)^authenticated^complicated^dedicated^deprecated^desiccated^domesticated^educated(0)^excommunicated^indicated(0)^intoxicated(0)^prevaricated,authenticated^domesticated^intoxicated(0)^prevaricated
battipaglia^cimaglia^miraglia^paglia^quaglia^tartaglia,battipaglia
advisable^inadvisable(0)^inadvisable(1)^realizable^recognizable^sizable^sizeable^unrecognizable,inadvisable(0)^inadvisable(1)^realizable^recognizable
overprotected^protected(0),overprotected
illegitimacy^intimacy^legitimacy(0)^legitimacy(1),legitimacy(0)^legitimacy(1)
determination's^determinations^eliminations^recriminations^ruminations,determination's^determinations^eliminations^recriminations
amyotrophic(0)^amyotrophic(1)^autotrophic,amyotrophic(0)^amyotrophic(1)
hesitated^incapacitated^levitated^precipitated^resuscitated,precipitated^resuscitated
acidifies^dehumidifies^solidifies,dehumidifies
anthropomorphic^metamorphic,anthropomorphic
bilateral^collateral^lateral^multilateral(0)^multilateral(1)^plurilateral^trilateral^unilateral,multilateral(0)^multilateral(1)^plurilateral^unilateral
competitively^definitively^intuitively^sensitively,competitively^definitively^intuitively
electrostatic^homeostatic^prostatic,electrostatic^homeostatic
astonishingly^punishingly,astonishingly
affirmation^confirmation^disinformation^information(0)^misinformation^reaffirmation^reconfirmation^reformation^transformation,disinformation^misinformation^reaffirmation^reconfirmation
inadvertently(0)^inadvertently(1),inadvertently(0)^inadvertently(1)
accommodations^accreditations^degradations^depredations,accommodations^accreditations
encyclopedias(0)^encyclopedias(1)^media's^multimedia's(0)^multimedia's(1),multimedia's(0)^multimedia's(1)
abrogated^castigated^conjugated(1)^corrugated(1)^instigated^interrogated^investigated(1)^irrigated^mitigated^navigated^obligated^propagated^relegated^segregated^subjugated^unmitigated,interrogated^investigated(1)^unmitigated
abolitionists(0)^exhibitionists(0),abolitionists(0)^exhibitionists(0)
micromanaging^mismanaging,micromanaging
angelo^dangelo^michelangelo(0)^michelangelo(1),michelangelo(0)^michelangelo(1)
covering(0)^discovering^hovering(0)^lovering^recovering(0)^recovering(1)^rediscovering^uncovering,rediscovering
advantages(0)^advantages(1)^disadvantages(0)^vantage's,disadvantages(0)
collateralize^federalize(0)^generalize^liberalize(0)^mineralize^naturalize(0)^pastoralize,collateralize
associate(3)^disassociate(0)^negotiate(0)^negotiate(1)^renegotiate,disassociate(0)^renegotiate
arbitrariness^contrariness,arbitrariness
argumentation^augmentation^documentation(0)^documentation(1)^implementation^indentation^instrumentation^misrepresentation^orientation^ornamentation^ostentation^regimentation^representation,argumentation^documentation(0)^documentation(1)^implementation^instrumentation^orientation^ornamentation^regimentation^representation
altimorano^martorano^morano^soranno^zamorano,altimorano
overprotection^protection(0),overprotection
foreshadowing^overshadowing^shadowing,overshadowing
alphanumeric^numeric^tumeric,alphanumeric
abdication^detoxification^electrification^fabrication^gentrification^glorification(0)^glorification(1)^indemnification^lubrication^misidentification(0)^misidentification(1)^mummification^publication^simplification^specification^syndication^telecommunication,gentrification^glorification(0)^glorification(1)^mummification^simplification^specification
ceremonial^colonial^matrimonial^testimonial,ceremonial^matrimonial^testimonial
aborigine^polygyny,aborigine
alatorre^delatorre^hattori^latorre^liberatore^pescatore^salvatori^senatore^serratore^tornatore,liberatore
conservationist^isolationist,conservationist^isolationist
constitutionists(0)^revolutionists(0),constitutionists(0)^revolutionists(0)
augustyniak^dominiak^marciniak^wawrzyniak,augustyniak
bipartisanship(0)^partisanship,bipartisanship(0)
constitutionists(1)^revolutionists(1),constitutionists(1)^revolutionists(1)
benvenuto^carotenuto^venuto,carotenuto
universities^university's,universities^university's
nonreligious^religious(0)^semireligious(0)^semireligious(1)^semireligious(2),semireligious(0)^semireligious(1)^semireligious(2)
psychotherapists(1)^therapists(1)^therapists's(1),psychotherapists(1)
baccalaureate^laureate,baccalaureate
albanian^arslanian^aslanian^bahrainian(0)^bahrainian(2)^hovnanian^iranian(1)^jordanian^lithuanian^mediterranean^o'hanian^ohanian^panamanian^pennsylvanian^pomeranian^romanian^rumanian(0)^stepanian^subterranean^tanzanian(0)^tasmanian^ukrainian^vartanian,lithuanian^panamanian^pennsylvanian^pomeranian^subterranean
cemeteries^dignitaries^militaries^paramilitaries^proprietaries^secretaries^secretary's^tributaries,proprietaries
policyholder's^policyholders^policyholders',policyholder's^policyholders^policyholders'
fundamentalists(0)^instrumentalists(0),fundamentalists(0)^instrumentalists(0)
genemedicine^medicine,genemedicine
characteristic^coloristic^futuristic^militaristic^terroristic^uncharacteristic,characteristic^militaristic
corruptible^interruptible(0)^interruptible(1),interruptible(0)^interruptible(1)
acuity^ambiguity^annuity(0)^congruity^continuity^ingenuity^promiscuity(0)^promiscuity(1),ambiguity^continuity^ingenuity^promiscuity(0)^promiscuity(1)
acropolis^heliopolis^megalopolis^metropolis^necropolis^papadopoulos(0)^papadopoulos(1)^stephanopoulos^stephanopoulos',heliopolis^megalopolis^papadopoulos(0)^papadopoulos(1)^stephanopoulos^stephanopoulos'
encyclopedic(0)^orthopedic,encyclopedic(0)
semifinalists(0)^semifinalists(2),semifinalists(0)^semifinalists(2)
accessible^addressable^inaccessible^incompressible^irrepressible,inaccessible^incompressible^irrepressible
associate(1)^disassociate(1)^dissociate,disassociate(1)
americano^chicano^mexicano,americano
indigenously^intravenously(0)^ominously,indigenously^intravenously(0)
embraceable^erasable(0)^irreplaceable^replaceable^traceable^untraceable,irreplaceable
distinguishable^indistinguishable^perishable^punishable,distinguishable
administrator's^administrators,administrator's^administrators
angiomedics^electromedics^isomedix^isomedix's(1),angiomedics^electromedics
exportable^insupportable^portable^reportable^supportable^transportable^unsupportable,insupportable^unsupportable
albendazole^mazzoli,albendazole
egotistical^logistical^mystical^statistical,egotistical
executioner's^executioners,executioner's^executioners
charity's^disparities^irregularities^parities^peculiarities^similarities^solidarity's^unfamiliarities^verities^verity's,similarities^solidarity's
architectural^prefectural,architectural
coprocessors^microprocessors^processor's^processors,microprocessors
liturgical^metallurgical^nonliturgical^nonsurgical^surgical,metallurgical^nonliturgical
anesthesiology^anthology^anthropology^apology^archaeology^archeology^astrogeology^astrology^bacteriology^biology^biotechnology^cardiology^chocolatology^chronology^cosmetology^criminology^cytology^dendrochronology^deontology^dermatology^doxology^ecology(0)^ecology(1)^egyptology^electrobiology^embryology^endocrinology^enterology^entomology^epidemiology^epistemology^ethnology^ethology^etiology(0)^etiology(1)^etymology(0)^etymology(1)^genealogy^geology^geomorphology^gerontology^graphology^gynecology^hematology(0)^hematology(1)^histology^hymnology^ideology^immunology^infotechnology^intertechnology^kinesiology^limnology^meteorology^methodology^microbiology(0)^microbiology(1)^micropaleontology^mineralogy^morphology^mycology^mythology^neurology^numerology^oncology^ontology^ophthalmology(0)^ophthalmology(1)^ornithology^otology^paleontology^pathology^penology^petrology^pharmacology^phonology^physiology^polytechnology^pomology^psychology^radiology^rheumatology^scientology^seismology^serology^sociology^technology^terminology^theology^toxicology^transtechnology^urology^virology^zoology,anthropology^archaeology^archeology^cardiology^chocolatology^cosmetology^criminology^deontology^dermatology^egyptology^embryology^enterology^entomology^etiology(0)^etiology(1)^etymology(0)^etymology(1)^genealogy^gerontology^gynecology^hematology(0)^hematology(1)^ideology^immunology^methodology^mineralogy^numerology^ophthalmology(0)^ophthalmology(1)^ornithology^pharmacology^physiology^radiology^rheumatology^scientology^sociology^terminology^toxicology^transtechnology
approximately^intimately^legitimately^ultimately,approximately^legitimately
bacteria's^cafeterias^confiterias^iberia's^liberia's^nigeria's^syria's,cafeterias^confiterias
alphabetizes^democratizes^dramatizes^prioritizes,alphabetizes^democratizes^prioritizes
concomitantly(0)^incompetently,concomitantly(0)^incompetently
agrochemical^biochemical(0)^chemical(0)^photochemical(0)^polemical,agrochemical^biochemical(0)^photochemical(0)
alitalia(1)^athalia^italia(0)^mahalia^nathalia,alitalia(1)
conceivably^irretrievably^unbelievably,irretrievably^unbelievably
admirably^comparably(0)^considerably^favorably(0)^honorably^incomparably^inexorably^inseparably^intolerably^irreparably^measurably^memorably^miserably(0)^preferably(0)^unalterably^unfavorably,considerably^incomparably^inexorably^inseparably^intolerably^irreparably^unalterably^unfavorably
acidified^dehumidified^solidified,dehumidified
complementing^complimenting^experimenting(0)^implementing(0),experimenting(0)
accessibility^advisability^availability(1)^believability^collectibility^comparability^convertibility^credibility^culpability^deniability^dependability^desirability^disability(0)^durability^eligibility^enforceability^facility^fallibility^favorability^fertility(1)^flammability^gentility^gullibility^humility^immobility^impossibility^inability^incivility^incompatibility^indestructibility^inevitability^infallibility^infertility^inflexibility^instability^invincibility^invulnerability^liability^maneuverability(0)^maneuverability(1)^marketability^miscibility^mobility(1)^motility^nonutility^permeability^plausibility^portability^predictability^profitability^readability^realty(1)^respectability^sensibility^stability^sterility^suitability^survivability^sustainability^taxability^tranquility^transferability^unavailability^unbreakability^unpredictability^unprofitability^unreliability^variability^visibility^vulnerability,credibility^culpability^disability(0)^durability^fallibility^flammability^gullibility^immobility^inability^incivility^infertility^instability^liability^miscibility^nonutility^plausibility^portability^readability^sensibility^suitability^taxability^visibility
casanova^paramonova^villanova,paramonova
management(1)^micromanagement^mismanagement^nonmanagement,micromanagement
anatolia^mendolia^mongolia(0)^petrolia,anatolia
appendectomies^lumpectomies^mastectomies^tonsillectomies^vasectomies^vasectomies,appendectomies^tonsillectomies
nonrefundable^refundable,nonrefundable
alligators^instigators^interrogators^investigator's^investigators^investigators'^irrigators^litigators^navigators,interrogators^investigator's^investigators^investigators'
asperity^austerity^charity^clarity(1)^dexterity(1)^garrity^gerety^gerrity^insularity^rarity(1)^severity^unpopularity^varity^verity^verity^vulgarity,insularity
amplifiers^fortifiers^humidifiers^magnifiers^pacifiers^purifiers^qualifiers^rectifiers,humidifiers
anticorruption(0)^anticorruption(1)^corruption^interruption(0)^interruption(1),anticorruption(0)^anticorruption(1)
anxieties^improprieties^pieties^societies^society's^varieties,improprieties
administrating^illustrating,administrating
costeira^financiera^riviera^sierra^vieira^vieyra,financiera
biologically^chronologically^ecologically(0)^ecologically(1)^epidemiologically^ideologically^logically^mineralogically(1)^pathologically^physiologically^psychologically^technologically(1)^theologically,biologically^chronologically^ecologically(0)^ecologically(1)^pathologically^psychologically^technologically(1)^theologically
aristocratic^autocratic^bureaucratic^democratic^hippocratic^socratic^technocratic^theocratic^undemocratic,aristocratic^undemocratic
avionic^embryonic^ganglionic^histrionic^napoleonic^nucleonic^propionic,napoleonic
extramarital^marital^premarital,extramarital
psychotherapists(0)^therapist's^therapists(0)^therapist's^therapists's(0),psychotherapists(0)
autopacific^nonspecific^pacific^specific(0)^transpacific,autopacific
conspiratorially(0)^editorially^industrially^kenealy^materially^perennially^radially^territorially,industrially^materially^perennially
autobiographies^bibliographies^biographies,bibliographies
dispensary(0)^extrasensory^sensory,extrasensory
accurately^commensurately(0)^commensurately(1)^deliberately(0)^desperately(0)^inaccurately^moderately^separately(0),commensurately(0)^commensurately(1)^deliberately(0)^inaccurately
albinia^alenia^armenia^erminia^eugenia^herminia^neurasthenia^robinia^sardinia^schizophrenia^slovenia^vaccinia^xenia^zinia,neurasthenia^schizophrenia
applicable^communicable^eradicable^ineradicable^irrevocable^practicable^revocable,communicable^eradicable^irrevocable
changeable^exchangeable^interchangeable(0)^interchangeable(1),interchangeable(0)^interchangeable(1)
accelerators^carburetors^cogenerators^collaborators^decorators^generator's^generators^incinerators^moderators^operator's^operators^operators'^operators^refrigerators^respirators,accelerators^cogenerators^collaborators^incinerators^refrigerators
pomposity^reciprocity^virtuosity,reciprocity^virtuosity
consolidator^liquidator,consolidator
angelo's^angelos^angeloz^michelangelo's^michelangelos^michelangelo's^michelangelos,michelangelo's^michelangelos^michelangelo's^michelangelos
alienated(1)^carbonated(1)^contaminated(1)^coordinated^culminated(1)^decaffeinated^decontaminated^denominated^discriminated(1)^eliminated(1)^emanated^exterminated^fascinated(1)^germinated^hallucinated^halogenated^hydrogenated(0)^hydrogenated(1)^hyphenated^impersonated^indoctrinated^marinated^opinionated^originated(1)^predominated^rejuvenated^renominated^resonated^subordinated^terminated(1)^uncoordinated^vaccinated,alienated(1)^contaminated(1)^coordinated^decaffeinated^denominated^discriminated(1)^eliminated(1)^exterminated^hallucinated^halogenated^hydrogenated(0)^hydrogenated(1)^impersonated^indoctrinated^opinionated^originated(1)^predominated^rejuvenated^renominated^subordinated
semiannually(2)^semiannually(3),semiannually(2)^semiannually(3)
kilimanjaro(0)^kilimanjaro(1),kilimanjaro(0)^kilimanjaro(1)
anthropologist(1)^archaeologist^cardiologist^climatologist(0)^climatologist(1)^criminologist^dermatologist^ecologist(0)^ecologist(1)^epidemiologist^ethnomusicologist^gerontologist^immunologist^kremlinologist^meteorologist^microbiologist^mineralogist(1)^oncologist^ophthalmologist(0)^ophthalmologist(1)^opthalmologist^paleontologist^pharmacologist^physiologist^radiologist^serologist^sociologist^sovietologist^technologist^toxicologist^virologist,anthropologist(1)^archaeologist^cardiologist^climatologist(0)^climatologist(1)^criminologist^dermatologist^gerontologist^immunologist^kremlinologist^mineralogist(1)^ophthalmologist(0)^ophthalmologist(1)^opthalmologist^pharmacologist^physiologist^radiologist^sociologist^toxicologist
amplifier^dehumidifier^emulsifier^fortifier^humidifier^identifier(0)^identifier(1)^magnifier^pacifier^purifier^qualifier^rectifier,emulsifier^humidifier^identifier(0)^identifier(1)
authorizing^categorizing^cauterizing^characterizing^circularizing^colorizing^computerizing^demilitarizing^depressurizing^glamorizing^memorizing^mesmerizing^mischaracterizing^pasteurizing^polarizing^popularizing^pressurizing^reauthorizing^satirizing^summarizing^temporizing^terrorizing^theorizing,categorizing^characterizing^circularizing^computerizing^depressurizing^popularizing^reauthorizing
collaborated(0)^cooperated(0)^cooperated(1)^decorated(0)^elaborated^evaporated(0)^evaporated(2)^exaggerated(0)^generated(0)^incorporated(0)^operated^perforated(0)^recuperated^reverberated(1)^saturated(0)^separated(0)^tolerated^vociferated,collaborated(0)^cooperated(0)^elaborated^evaporated(0)^evaporated(2)^exaggerated(0)^incorporated(0)^recuperated^reverberated(1)^vociferated
albanians^iranians'^jordanians^lithuanians^panamanians^pennsylvanians^romanians^stepanian's^ukrainian's^ukrainians,lithuanians^panamanians^pennsylvanians
accusatory^aleatory^ambulatory^anticipatory^articulatory^celebratory^circulatory^compensatory^conciliatory(0)^conciliatory(1)^confirmatory^confiscatory^congratulatory^conservatory^contributory^declaratory^defamatory^depilatory^depository^deregulatory^derogatory^dilatory^discriminatory^dormitory^excretory^exculpatory^expiratory^explanatory^exploratory^hallucinatory^incantatory^inflammatory^inhibitory^interrogatory^investigatory^laboratory^laudatory^lavatory^mandatory^migratory^nondiscriminatory^obligatory^observatory^oratory^oscillatory^participatory^predatory^preparatory(0)^preparatory(1)^prohibitory^purgatory^reformatory^regulatory^repository^respiratory^retaliatory^revelatory^signatory^statutory^transitory,accusatory^aleatory^ambulatory^celebratory^circulatory^compensatory^conciliatory(1)^confirmatory^confiscatory^conservatory^contributory^declaratory^defamatory^depilatory^depository^derogatory^exculpatory^expiratory^explanatory^exploratory^incantatory^inflammatory^inhibitory^obligatory^observatory^oscillatory^preparatory(0)^prohibitory^reformatory^regulatory^repository^respiratory^retaliatory^revelatory
abohalima^halima^salema,abohalima
forgivable(0)^forgivable(1)^livable^unforgivable^unlivable,unforgivable
anticipation(0)^anticipation(1)^constipation^emancipation^occupation^participation^preoccupation,anticipation(0)^anticipation(1)^emancipation^participation^preoccupation
anachronistic^antagonistic^chauvinistic^deterministic^expressionistic^hedonistic^hellenistic^humanistic^impressionistic^mechanistic,anachronistic^antagonistic^deterministic^expressionistic^impressionistic
hospitable^inhospitable(1)^initable^mehitabel(1)^transmittable,inhospitable(1)
montevideo(0)^presidio^televideo^video,montevideo(0)^televideo
equality^frivolity^inequality(0)^inequality(1)^inequality(2)^polity^quality,inequality(0)^inequality(1)^inequality(2)
devastatingly^excruciatingly^frustratingly^regulatingly^unhesitatingly,devastatingly^regulatingly
immediately^inappropriately,immediately
